Identifier,MIRU02,MIRU04_ETRD,MIRU10,MIRU16,MIRU20,MIRU23,MIRU24,MIRU26,MIRU27_QUBS,MIRU31_ETRE,MIRU39,MIRU40,Mtub04,ETRC,Mtub21,QUB_11b,ETRA,Mtub29,Mtub30,ETRB,Mtub34,Mtub39,QUB_4156,QUB26
10264/03,2,1,5,1,2,5,1,1,3,3,2,2,4,4,2,2,3,4,4,2,3,3,3,6
10400/02,2,2,4,3,2,4,2,4,4,2,2,1,3,4,2,3,4,3,4,2,3,3,3,3
10438/01,2,2,3,2,1,5,1,5,3,3,2,3,2,4,3,3,4,4,2,2,3,10,2,4
10439/01,2,2,3,3,1,5,1,5,3,3,2,3,2,4,3,6,4,4,2,2,3,13,2,5
10445/01,2,2,3,3,1,5,1,5,3,3,2,3,2,4,3,6,4,4,2,2,3,8,0,4
10446/01,1,2,3,2,1,5,1,4,3,3,2,3,2,4,3,4,3,4,2,2,3,9,2,5
10458/02,2,2,4,4,2,4,2,4,3,2,2,1,1,4,2,5,4,3,4,2,3,3,0,2
10459/03,2,2,2,3,2,5,1,5,3,3,2,3,1,4,3,3,3,4,2,1,3,3,2,7
10462/01,2,2,6,4,2,4,2,4,3,5,2,2,3,5,4,4,6,3,4,4,3,4,3,6
10469/01,2,2,3,3,2,5,1,4,3,3,3,5,2,3,4,3,3,4,4,2,2,3,1,6
10470/01,2,2,3,3,2,5,1,4,3,3,3,6,2,3,4,3,3,4,4,2,2,3,1,6
10473/01,2,2,4,4,2,4,2,4,3,2,2,1,1,4,2,10,4,3,4,2,3,3,0,2
10476/01,2,2,5,4,2,4,2,4,3,5,2,2,3,5,4,3,6,3,4,4,3,4,3,6
10480/01,2,2,4,4,2,4,2,4,3,2,2,1,1,4,2,2,4,3,2,2,3,3,3,2
10481/01,2,2,3,3,1,5,1,5,3,3,2,3,2,4,3,4,2,4,2,2,3,9,2,4
10485/01,2,2,5,4,2,4,2,4,3,5,2,2,3,7,4,5,6,3,4,4,3,4,3,6
10486/01,2,2,3,3,2,5,1,4,3,3,3,6,2,3,4,3,3,4,4,2,2,3,1,6
10493/01,2,2,3,3,2,5,1,4,3,4,3,6,2,3,3,4,3,4,4,2,2,3,1,6
10494/01,2,2,7,5,2,4,2,4,2,2,2,1,1,4,2,5,4,3,4,3,3,3,3,2
10512/01,2,2,5,4,2,4,2,4,3,5,2,2,3,5,4,5,6,3,4,4,3,4,3,6
10514/01,2,2,5,4,2,2,2,4,4,5,2,2,3,5,4,5,6,3,4,2,3,4,3,7
10515/01,2,2,3,3,2,5,1,4,3,3,3,6,2,3,4,3,3,4,4,2,2,3,1,6
10517/01,2,2,5,3,2,4,2,4,3,5,2,2,3,5,4,5,6,3,4,4,3,4,3,6
10529/03,2,1,5,1,2,5,1,1,3,3,2,2,4,4,2,2,3,4,4,2,3,3,3,6
10581/03,1,2,4,3,2,5,1,5,3,2,2,4,1,2,3,2,2,4,1,2,3,2,2,5
11046/04,3,3,3,3,2,5,1,5,3,3,2,4,3,4,1,4,3,2,2,2,3,3,2,9
11051/03,2,4,4,2,2,5,2,2,3,5,3,3,2,4,5,2,7,3,2,5,3,4,1,5
11313/03,2,1,5,1,2,5,1,1,3,3,2,2,4,4,2,2,3,4,4,2,3,3,3,6
11359/03,2,5,5,3,1,6,2,2,3,5,3,4,2,4,3,11,8,3,2,5,3,6,1,6
11443/99,2,3,5,4,2,4,2,5,3,5,2,2,3,7,2,4,4,3,4,3,2,1,3,3
12591/02,2,2,2,3,2,5,1,6,3,3,2,3,2,4,5,2,3,4,2,1,2,4,2,7
12637/02,2,2,5,3,2,3,1,5,3,3,2,3,2,3,3,4,2,2,4,2,3,3,3,7
12778/03,2,6,4,2,2,5,2,2,3,5,3,3,2,4,5,2,7,3,2,4,3,5,1,6
1290/03,2,3,2,1,2,6,2,1,3,3,2,2,2,5,3,3,6,3,3,5,3,2,1,5
1410/02,2,2,4,4,2,4,2,4,4,2,2,1,3,4,2,5,2,3,4,2,3,3,3,2
1417/02,2,2,3,3,1,5,1,5,3,3,2,3,2,4,3,5,4,4,2,2,3,6,2,5
1428/02,2,2,3,3,1,5,1,5,3,3,2,3,2,4,3,4,4,4,2,2,3,4,2,5
1438/02,2,2,3,3,2,5,1,4,3,3,3,5,2,3,4,3,3,4,4,2,2,3,1,6
1443/02,2,2,7,5,2,4,2,4,2,2,2,1,2,4,2,3,4,3,4,2,3,3,3,2
1449/02,2,2,4,4,2,4,2,4,4,2,2,1,2,4,2,3,4,3,4,2,3,5,3,3
1465/02,2,1,4,3,2,4,2,4,4,2,2,1,3,4,2,5,3,3,4,2,3,3,3,4
1473/02,2,2,3,5,2,4,2,4,4,2,2,1,3,4,2,5,4,3,4,2,3,3,3,3
1479/00,2,4,5,6,1,4,2,2,1,1,2,2,3,5,3,6,8,3,4,3,3,3,3,9
1521/99,2,2,3,3,1,5,1,4,4,4,2,3,2,5,3,2,4,4,2,1,3,3,2,6
1571/99,2,2,3,2,2,5,1,5,3,4,2,3,1,5,3,2,4,4,2,2,3,2,2,7
1601/01,2,3,2,3,2,4,2,5,3,3,2,2,2,3,3,2,2,3,4,4,3,2,1,5
1647/99,2,2,3,3,1,5,1,4,3,3,2,3,2,5,3,2,4,4,2,1,3,3,2,7
1657/03,2,2,9,2,2,5,1,1,3,3,2,2,4,4,3,2,4,4,4,2,3,3,3,8
1694/00,2,2,5,5,2,4,2,5,3,5,2,2,2,5,3,3,7,3,4,3,2,1,3,3
1696/00,1,3,6,3,2,4,2,4,3,5,2,2,2,5,3,5,6,3,4,3,2,1,3,3
1797/03,2,5,4,3,2,6,2,2,3,6,4,3,2,4,6,3,6,3,1,1,3,6,1,6
1805/02,2,2,4,4,2,5,1,3,3,5,3,3,4,2,2,2,4,4,2,2,3,3,4,5
1850/03,2,2,4,2,2,6,1,4,3,3,2,1,4,4,3,2,2,4,1,1,5,3,2,3
